scalar,RGB_r,RGB_g,RGB_b
0.0,1,0,4
0.06666666666666667,17,7,38
0.13333333333333333,44,8,79
0.2,73,2,104
0.26666666666666666,98,11,111
0.3333333333333333,123,24,110
0.4,148,35,104
0.4666666666666667,173,47,93
0.5333333333333333,196,61,77
0.6,217,81,58
0.6666666666666666,232,105,37
0.7333333333333333,241,134,13
0.8,245,166,3
0.8666666666666667,241,199,41
0.9333333333333333,233,232,95
1.0,245,255,163
