scalar,RGB_r,RGB_g,RGB_b
0.0,72,0,84
0.06666666666666667,78,21,108
0.13333333333333333,80,44,125
0.2,76,66,136
0.26666666666666666,69,85,140
0.3333333333333333,62,103,142
0.4,55,120,142
0.4666666666666667,47,136,142
0.5333333333333333,38,152,138
0.6,32,169,131
0.6666666666666666,42,184,120
0.7333333333333333,71,199,102
0.8,109,211,78
0.8666666666666667,153,220,48
0.9333333333333333,199,227,14
1.0,243,233,28
