scalar,RGB_r,RGB_g,RGB_b
0.0,47,0,135
0.06666666666666667,72,0,152
0.13333333333333333,95,0,163
0.2,118,0,169
0.26666666666666666,140,0,168
0.3333333333333333,160,8,159
0.4,178,37,145
0.4666666666666667,195,59,129
0.5333333333333333,209,79,113
0.6,221,100,98
0.6666666666666666,232,121,83
0.7333333333333333,240,143,68
0.8,245,167,52
0.8666666666666667,245,193,37
0.9333333333333333,240,221,29
1.0,228,250,21
