scalar,RGB_r,RGB_g,RGB_b
0.0,0,0,0
0.0666666666667,35,15,9
0.133333333333,60,22,17
0.2,88,27,22
0.266666666667,117,30,26
0.333333333333,148,32,31
0.4,177,38,35
0.466666666667,193,65,29
0.533333333333,209,88,20
0.6,223,113,5
0.666666666667,226,141,4
0.733333333333,228,169,3
0.8,229,195,5
0.866666666667,235,218,74
0.933333333333,249,236,168
1.0,255,255,255
