scalar,RGB_r,RGB_g,RGB_b
0.0,85,72,193
0.06666666666666667,104,102,218
0.13333333333333333,122,131,237
0.2,141,157,249
0.26666666666666666,160,179,255
0.3333333333333333,179,198,254
0.4,197,211,245
0.4666666666666667,214,219,230
0.5333333333333333,228,216,209
0.6,239,203,183
0.6666666666666666,243,184,156
0.7333333333333333,241,161,129
0.8,234,133,104
0.8666666666666667,220,101,80
0.9333333333333333,201,64,58
1.0,177,1,39
